G2V	RVS_T05750G45P00V000K2SNWNVRVSF	
8439.6643      8780.2676
8479.0177	2.10E-09
8479.3863	2.09E-09
8479.755	2.08E-09
8480.1237	2.08E-09
8480.4924	2.07E-09
8480.8611	2.08E-09
8481.2298	2.08E-09
8481.5986	2.02E-09
8481.9673	1.92E-09
8482.3361	2.02E-09
8482.7049	2.08E-09
8483.0737	2.08E-09
8483.4426	2.09E-09
8483.8114	2.09E-09
8484.1803	2.09E-09
8484.5491	2.09E-09
8484.918	2.08E-09
8485.2869	2.09E-09
8485.6559	2.09E-09
8486.0248	2.09E-09
8486.3938	2.09E-09
8486.7627	2.09E-09
8487.1317	2.09E-09
8487.5007	2.07E-09
8487.8698	2.06E-09
8488.2388	2.06E-09
8488.6078	2.07E-09
8488.9769	2.08E-09
8489.346	2.08E-09
8489.7151	2.08E-09
8490.0842	2.08E-09
